Feature,Coefficient
COOLING_DELTA,4.34191335645721
LOAD_MW,0.3429310562461249
AMBIENT_TEMP COOLING_DELTA,-0.32708403463249597
LOAD_MW^2,-0.2066766422769276
REACTIVE_MVAR,-0.13929699836845705
LOAD_MW AMBIENT_TEMP,0.12119142924085577
AMBIENT_TEMP,-0.121185336315908
REACTIVE_MVAR^2,-0.10375515176589983
COOLING_DELTA^2,-0.07498342020147765
REACTIVE_MVAR AMBIENT_TEMP,0.05927305960052252
LOAD_MW COOLING_DELTA,0.04301128454901833
LOAD_MW REACTIVE_MVAR,-0.030728317828430485
AMBIENT_TEMP^2,-0.016942171957721196
REACTIVE_MVAR COOLING_DELTA,0.010619278656846679
